arxiv_id,title,abstract,authors,year,date,categories,primary_category,journal,doi,url,source,paper_id,citations,topic_id,cluster,sentiment,research_methods,astro_objects,key_phrases,is_outlier,paper_age,citations_per_year
2510.08514v1,Effects of dark dipole radiation on eccentric supermassive black hole   binary inspirals,"The final-parsec problem has long posed a central challenge in understanding the merger of supermassive black hole binaries. In this paper, we investigate a scenario in which a dark scalar or vector field is sourced by eccentric binaries, leading to accelerated mergers through additional dipole radiation, and thereby extending the range of masses for which the binary merges within a Hubble time. The radiation fluxes from an eccentric charged Keplerian binary are derived using general results for localized periodic sources in flat spacetime. We find that dipole radiation, although insufficient to fully resolve the final-parsec problem, can alter the low-frequency spectrum of the stochastic gravitational-wave background from supermassive black hole binary inspirals. We construct a simplified model for the spectrum and perform a Bayesian analysis using the current pulsar timing array data.","Mu-Chun Chen, Yan Cao",2025,2025-10-09,"['gr-qc', 'astro-ph.CO', 'astro-ph.GA', 'astro-ph.HE', 'hep-ph']",gr-qc,arXiv,,https://arxiv.org/abs/2510.08514v1,arXiv,2510.08514v1,27,-1,0,0.0,"['theoretical', 'statistical', 'spectroscopic']","['black_hole', 'neutron_star']","[('supermassive black hole', 0.242535625036333), ('black hole', 0.242535625036333), ('dipole radiation', 0.242535625036333), ('supermassive black', 0.242535625036333), ('hole binary', 0.16169041669088866)]",False,0,27.0
2510.08505v1,AT 2018cow at ~5 years: additional evidence for a tidal disruption   origin,"The Luminous Fast Blue Optical Transient (LFBOT) AT 2018cow is the prototype of its class with an extensive set of multi-wavelength observations. Despite a rich data set there is, still, no consensus about the physical nature and origin of this event. AT 2018cow remained UV bright 2-4 years after the explosion, which points at an additional energy injection source, most likely from an accretion disk. We present additional late time UV data obtained with the Hubble Space Telescope, to show there is no significant fading in the optical since the last epoch and only marginal fading in the UV. The new UV data points match the predictions of previously published accretion disk models, where the disk is assumed to form from the tidal disruption of a low mass star by an intermediate mass black hole. This consistency provides evidence that AT 2018cow could indeed be a tidal disruption event. The marginal decay is in contrast with the predictions of light curves produced by interacting supernovae. The difference between expectations for disc emission and interacting supernovae will further increase with time, making data at even later times a route to robustly rule out interaction between supernova ejecta and circumstellar material.","Anne Inkenhaag, Andrew J. Levan, Andrew Mummery et al.",2025,2025-10-09,"['astro-ph.HE', 'astro-ph.SR']",astro-ph.HE,arXiv,,https://arxiv.org/abs/2510.08505v1,arXiv,2510.08505v1,21,-1,0,1.0,"['observational', 'theoretical']","['star', 'black_hole', 'supernova']","[('tidal disruption', 0.2773500981126145), ('accretion disk', 0.1849000654084097), ('interacting supernovae', 0.1849000654084097), ('uv data', 0.1849000654084097), ('years additional evidence', 0.09245003270420485)]",True,0,21.0
2510.08472v1,Agnostic Product Mixed State Tomography via Robust Statistics,"We consider the problem of agnostic tomography with \emph{mixed state} ansatz, and specifically, the natural ansatz class of product mixed states. In more detail, given $N$ copies of an $n$-qubit state $\rho$ which is $\epsilon$-close to a product mixed state $\pi$, the goal is to output a nearly-optimal product mixed state approximation to $\rho$. While there has been a flurry of recent work on agnostic tomography, prior work could only handle pure state ansatz, such as product states or stabilizer states. Here we give an algorithm for agnostic tomography of product mixed states which finds a product state which is $O(\epsilon \log 1 / \epsilon)$ close to $\rho$ which uses polynomially many copies of $\rho$, and which runs in polynomial time. Moreover, our algorithm only uses single-qubit, single-copy measurements. To our knowledge, this is the first efficient algorithm that achieves any non-trivial agnostic tomography guarantee for any class of mixed state ansatz.   Our algorithm proceeds in two main conceptual steps, which we believe are of independent interest. First, we demonstrate a novel, black-box efficient reduction from agnostic tomography of product mixed states to the classical task of \emph{robustly learning binary product distributions} -- a textbook problem in robust statistics. We then demonstrate a nearly-optimal efficient algorithm for the classical task of robustly learning a binary product, answering an open problem in the literature. Our approach hinges on developing a new optimal certificate of closeness for binary product distributions that can be leveraged algorithmically via a carefully defined convex relaxation. Finally, we complement our upper bounds with a lower bound demonstrating that adaptivity is information-theoretically necessary for our agnostic tomography task, so long as the algorithm only uses single-qubit two-outcome projective measurements.","Alvan Arulandu, Ilias Diakonikolas, Daniel Kane et al.",2025,2025-10-09,['quant-ph'],quant-ph,arXiv,,https://arxiv.org/abs/2510.08472v1,arXiv,2510.08472v1,13,-1,0,1.0,"['theoretical', 'experimental', 'computational']",[],"[('agnostic tomography', 0.34992710611188255), ('product mixed', 0.34992710611188255), ('mixed state', 0.29160592175990213), ('product mixed state', 0.17496355305594127), ('binary product', 0.17496355305594127)]",False,0,13.0
2510.08465v1,Accelerated Aggregated D-Optimal Designs for Estimating Main Effects in   Black-Box Models,"Recent advances in supervised learning have driven growing interest in explaining black-box models, particularly by estimating the effects of input variables on model predictions. However, existing approaches often face key limitations, including poor scalability, sensitivity to out-of-distribution sampling, and instability under correlated features. To address these issues, we propose A2D2E, an $\textbf{E}$stimator based on $\textbf{A}$ccelerated $\textbf{A}$ggregated $\textbf{D}$-Optimal $\textbf{D}$esigns. Our method leverages principled experimental design to improve efficiency and robustness in main effect estimation. We establish theoretical guarantees, including convergence and variance reduction, and validate A2D2E through extensive simulations. We further provide the potential of the proposed method with a case study on real data and applications in language models. The code to reproduce the results can be found at https://github.com/cchihyu/A2D2E.","Chih-Yu Chang, Ming-Chung Chang",2025,2025-10-09,"['stat.ML', 'cs.LG']",stat.ML,arXiv,,https://arxiv.org/abs/2510.08465v1,arXiv,2510.08465v1,20,-1,1,0.5,"['theoretical', 'experimental', 'computational']",[],"[('black box', 0.19156525704423027), ('black box models', 0.19156525704423027), ('box models', 0.19156525704423027), ('variance reduction', 0.09578262852211514), ('optimal designs', 0.09578262852211514)]",False,0,20.0
2510.08381v1,Airy: Reading Robot Intent through Height and Sky,"As industrial robots move into shared human spaces, their opaque decision making threatens safety, trust, and public oversight. This artwork, Airy, asks whether complex multi agent AI can become intuitively understandable by staging a competition between two reinforcement trained robot arms that snap a bedsheet skyward. Building on three design principles, competition as a clear metric (who lifts higher), embodied familiarity (audiences recognize fabric snapping), and sensor to sense mapping (robot cooperation or rivalry shown through forest and weather projections), the installation gives viewers a visceral way to read machine intent. Observations from five international exhibitions indicate that audiences consistently read the robots' strategies, conflict, and cooperation in real time, with emotional reactions that mirror the system's internal state. The project shows how sensory metaphors can turn a black box into a public interface.","Baoyang Chen, Xian Xu, Huamin Qu",2025,2025-10-09,"['cs.RO', 'cs.AI']",cs.RO,arXiv,,https://arxiv.org/abs/2510.08381v1,arXiv,2510.08381v1,14,-1,0,0.0,['observational'],[],"[('weather projections', 0.1), ('recognize fabric snapping', 0.1), ('reactions mirror internal', 0.1), ('read machine', 0.1), ('read machine intent', 0.1)]",False,0,14.0
2510.08375v1,"Primordial Black Holes, Charge, and Dark Matter: Rethinking Evaporation   Limits","Limits on the dark matter fraction of small mass primordial black holes from Hawking radiation are predominantly derived from the assumption of a Schwarzschild black hole evaporating. However, astrophysical black holes are usually much more realistically modelled by the rotating Kerr black hole solution. Meanwhile, electromagnetically charged black holes are astrophysically of little importance due to their fast neutralisation in the present universe. Dark matter is not just a possible solution to issues of astrophysics and cosmology, but also to issues of the standard model of particle physics. Extensions of this model thus can lead to charges present in the early universe which remain preserved in the charge of primordial black holes - even when the corresponding particles have disappeared from the particle content of the present epoch of the universe. Here, we report on a thorough proof-of-concept that such charges can greatly change evaporation limits for primordial black hole dark matter. Special emphasis is placed on (near-)extremal black holes, for which this effect is especially pronounced.","Sebastian Schuster, Jessica Santiago, Justin Feng et al.",2025,2025-10-09,"['gr-qc', 'astro-ph.CO', 'astro-ph.HE', 'hep-ph']",gr-qc,arXiv,,https://arxiv.org/abs/2510.08375v1,arXiv,2510.08375v1,18,-1,0,0.5,['theoretical'],['black_hole'],"[('black holes', 0.4423258684646914), ('dark matter', 0.29488391230979427), ('primordial black', 0.29488391230979427), ('black hole', 0.2211629342323457), ('primordial black holes', 0.2211629342323457)]",False,0,18.0
2510.08354v1,Mephisto: Self-Improving Large Language Model-Based Agents for Automated   Interpretation of Multi-band Galaxy Observations,"Astronomical research has long relied on human expertise to interpret complex data and formulate scientific hypotheses. In this study, we introduce Mephisto -- a multi-agent collaboration framework powered by large language models (LLMs) that emulates human-like reasoning for analyzing multi-band galaxy observations. Mephisto interfaces with the CIGALE codebase (a library of spectral energy distribution, SED, models) to iteratively refine physical models against observational data. It conducts deliberate reasoning via tree search, accumulates knowledge through self-play, and dynamically updates its knowledge base. Validated across diverse galaxy populations -- including the James Webb Space Telescope's recently discovered ""Little Red Dot"" galaxies -- we show that Mephisto demonstrates proficiency in inferring the physical properties of galaxies from multi-band photometry, positioning it as a promising research copilot for astronomers. Unlike prior black-box machine learning approaches in astronomy, Mephisto offers a transparent, human-aligned reasoning process that integrates seamlessly with existing research practices. This work underscores the possibility of LLM-driven agent-based research for astronomy, establishes a foundation for fully automated, end-to-end artificial intelligence (AI)-powered scientific workflows, and unlocks new avenues for AI-augmented discoveries in astronomy.","Zechang Sun, Yuan-Sen Ting, Yaobo Liang et al.",2025,2025-10-09,"['astro-ph.IM', 'astro-ph.GA']",astro-ph.IM,arXiv,,https://arxiv.org/abs/2510.08354v1,arXiv,2510.08354v1,9,-1,4,0.5,"['observational', 'theoretical', 'computational', 'statistical', 'spectroscopic']",['galaxy'],"[('multi band', 0.2705008904002297), ('band galaxy', 0.18033392693348646), ('band galaxy observations', 0.18033392693348646), ('galaxy observations', 0.18033392693348646), ('large language', 0.18033392693348646)]",True,0,9.0
2510.08258v1,Holographic solutions from 5D $SO(2)\times ISO(3)$ $N=4$ gauged   supergravity,"We study various types of holographic solutions from five-dimensional $N=4$ gauged supergravity coupled to three vector multiplets with $SO(2)\times ISO(3)$ gauge group. This gauged supergravity can be obtained from the maximal gauged supergravity in seven dimensions on a Riemann surface. For a negatively curved Rimann surface $H^2$, the resulting five-dimensional gauged supergravity admits a supersymmetric $N=4$ $AdS_5$ critical point. This $AdS_5$ vacuum is dual to an $N=2$ superconformal field theory (SCFT) arising from M5-branes wrapped on $H^2$. We study holographic RG flow solutions describing deformations of this SCFT by turning on relevant, marginal and irrelevant operators to $N=2$ non-conformal phases in the IR. Solutions describing conformal interfaces between these non-conformal phases and singular boundaries are also given. We finally study a number of supersymmetric $AdS_5$ black string and black hole solutions holographically dual to RG flows across dimensions from the $N=2$ SCFT to two-dimensional SCFTs and superconformal quantum mechanics in the IR. All of the solutions can be uplifted to M-theory by a consistent truncation on $H^2\times S^4$.",Parinya Karndumri,2025,2025-10-09,['hep-th'],hep-th,arXiv,,https://arxiv.org/abs/2510.08258v1,arXiv,2510.08258v1,25,-1,0,0.5,['theoretical'],['black_hole'],"[('gauged supergravity', 0.4029114820126901), ('solutions describing', 0.16116459280507606), ('ir solutions', 0.16116459280507606), ('supersymmetric ads_5', 0.16116459280507606), ('non conformal phases', 0.16116459280507606)]",False,0,25.0
2510.08231v1,Explanation of the Mass Distribution of Binary Black Hole Mergers,"Gravitational wave detectors are observing an increasing number of binary black hole (BBH) mergers, revealing a bimodal mass distribution of BBHs, which hints at diverse formation histories for these systems. Using the rapid binary population synthesis code MOBSE, we simulate a series of population synthesis models that include chemically homogeneous evolution (CHE). By considering metallicity-specific star formation and selection effects, we compare the intrinsic merger rates and detection rates of each model with observations. We find that the observed peaks in the mass distribution of merging BBHs at the low-mass end (10\msun) and the high-mass end (35\msun) are contributed by the common envelope channel or stable mass transfer channel (depending on the stability criteria for mass transfer) and the CHE channel, respectively, in our model. The merger rates and detection rates predicted by our model exhibit significant sensitivity to the choice of physical parameters. Different models predict merger rates ranging from 15.4 to $96.7\,\rm{Gpc^{-3}yr^{-1}}$ at redshift $z$ = 0.2, and detection rates ranging from 22.2 to 148.3$\mathrm{yr^{-1}}$ under the assumption of a detectable redshift range of $z \le$ 1.0.","Lei Li, Guoliang Lv, Chunhua Zhu et al.",2025,2025-10-09,"['astro-ph.HE', 'astro-ph.SR']",astro-ph.HE,arXiv,10.1103/drq9-dpy4,https://arxiv.org/abs/2510.08231v1,arXiv,2510.08231v1,19,-1,0,1.0,"['observational', 'theoretical', 'computational']","['star', 'black_hole']","[('detection rates', 0.24174688920761409), ('mass distribution', 0.24174688920761409), ('merger rates', 0.24174688920761409), ('merger rates detection', 0.16116459280507606), ('mass transfer', 0.16116459280507606)]",False,0,19.0
2510.08201v1,Spectrum of pure $R^2$ gravity: full Hamiltonian analysis,"We perform a full Hamiltonian constraint analysis of pure Ricci-scalar-squared ($R^2$) gravity to clarify recent controversies regarding its particle spectrum. While it is well established that the full theory consistently propagates three degrees of freedom, we confirm that its linearised spectrum around Minkowski spacetime is empty. moreover, we show that this is not a feature unique to Minkowski spacetime, but a generic property of all traceless-Ricci spacetimes that have a vanishing Ricci scalar, such as the Schwarzschild and Kerr black hole spacetimes. The mechanism for this phenomenon is a change in the nature of the constraints upon linearisation: ten second-class constraints of the full theory become first-class, while the three momentum constraints degenerate into a single constraint. Furthermore, we show that higher order perturbation theory around these singular backgrounds reveals no degrees of freedom at any order. This is in conflict with the general analysis and points to the fact that such backgrounds are surfaces of strong coupling in field space, where the dynamics of perturbations becomes nonperturbative. We further show via a cosmological phase-space analysis that the evolving universe is able to penetrate through the singular $R=0$ surface.","Will Barker, Dražen Glavan",2025,2025-10-09,"['gr-qc', 'hep-th']",gr-qc,arXiv,,https://arxiv.org/abs/2510.08201v1,arXiv,2510.08201v1,19,-1,0,0.5,"['theoretical', 'spectroscopic']",['black_hole'],"[('degrees freedom', 0.19156525704423027), ('minkowski spacetime', 0.19156525704423027), ('ricci scalar', 0.19156525704423027), ('vanishing ricci', 0.09578262852211514), ('pure gravity hamiltonian', 0.09578262852211514)]",False,0,19.0
2510.08125v1,Noncommutative Regge-Wheeler potential: some nonperturbative results,"We study the gravitational perturbation theory of black holes in noncommutative spacetimes with noncommutativity of the type $[t\stackrel{\star}{,} r] = i a \alpha A(r)$ and $[\varphi \stackrel{\star}{,} r] = i a \beta A(r)$ for arbitrary $A(r)$, which includes several Moyal-type spaces and also the $\kappa$-Minkowski space. The main result of this paper is an analytical expression for the effective potential of the axial perturbation modes, valid to all orders in the noncommutativity parameter. This is achieved by evaluating the $\star$-products using translations in the radial direction, i.e., Bopp shift. We comment on various regimes, such as Planck-scale black holes, where the noncommutativity length scale is of the same order of magnitude as the black hole horizon.","Nikola Herceg, Tajron Jurić, A. Naveena Kumara et al.",2025,2025-10-09,"['gr-qc', 'hep-th']",gr-qc,arXiv,,https://arxiv.org/abs/2510.08125v1,arXiv,2510.08125v1,16,-1,0,0.5,['theoretical'],"['star', 'black_hole']","[('black holes', 0.19425717247145283), ('stackrel star', 0.19425717247145283), ('varphi stackrel star', 0.09712858623572641), ('paper analytical', 0.09712858623572641), ('evaluating star products', 0.09712858623572641)]",False,0,16.0
2510.08111v1,Evaluating LLM-Generated Legal Explanations for Regulatory Compliance in   Social Media Influencer Marketing,"The rise of influencer marketing has blurred boundaries between organic content and sponsored content, making the enforcement of legal rules relating to transparency challenging. Effective regulation requires applying legal knowledge with a clear purpose and reason, yet current detection methods of undisclosed sponsored content generally lack legal grounding or operate as opaque ""black boxes"". Using 1,143 Instagram posts, we compare gpt-5-nano and gemini-2.5-flash-lite under three prompting strategies with controlled levels of legal knowledge provided. Both models perform strongly in classifying content as sponsored or not (F1 up to 0.93), though performance drops by over 10 points on ambiguous cases. We further develop a taxonomy of reasoning errors, showing frequent citation omissions (28.57%), unclear references (20.71%), and hidden ads exhibiting the highest miscue rate (28.57%). While adding regulatory text to the prompt improves explanation quality, it does not consistently improve detection accuracy. The contribution of this paper is threefold. First, it makes a novel addition to regulatory compliance technology by providing a taxonomy of common errors in LLM-generated legal reasoning to evaluate whether automated moderation is not only accurate but also legally robust, thereby advancing the transparent detection of influencer marketing content. Second, it features an original dataset of LLM explanations annotated by two students who were trained in influencer marketing law. Third, it combines quantitative and qualitative evaluation strategies for LLM explanations and critically reflects on how these findings can support advertising regulatory bodies in automating moderation processes on a solid legal foundation.","Haoyang Gui, Thales Bertaglia, Taylor Annabell et al.",2025,2025-10-09,"['cs.CL', 'cs.CY']",cs.CL,arXiv,,https://arxiv.org/abs/2510.08111v1,arXiv,2510.08111v1,18,-1,5,0.75,['theoretical'],[],"[('influencer marketing', 0.33567254331867563), ('llm generated', 0.16783627165933782), ('regulatory compliance', 0.16783627165933782), ('28 57', 0.16783627165933782), ('content sponsored', 0.16783627165933782)]",False,0,18.0
